,pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
3387,HD 93963 A c,HD 93963 A,2022,Transit,3.6451398,0.04813,3.228,19.2,18.095,543.8,1344.0,G0 V,5987.0,63.07361,209.2072,268.56759841605344,59.34664005307328,-106.1569821845045
3405,HD 95338 b,HD 95338,2020,Radial Velocity,55.087,0.262,3.89,42.44,27.5423,7.42,385.0,K0.5 V,5212.0,2.95274,287.94231,120.65861652890977,114.6382472254849,37.12065319462684
3534,HIP 65 A b,HIP 65 A,2020,Transit,0.9809734,0.01782,22.754,1021.18779,19.3693,661.0,1411.0,K4 V,4590.0,-60.79535,317.9426,201.5176749105562,65.866521852309,73.0049693789339
3630,K2-100 b,K2-100,2016,Transit,1.6739035,0.0301,3.88,21.8,14.2206,1915.0,1841.0,G0 V,5945.0,32.19544,205.23994,616.3018297697811,222.3883557213109,-471.74545447390625
4027,K2-180 b,K2-180,2018,Transit,8.8665,0.075,2.242,11.44182,22.3537,67.0,729.0,K2 V,5110.0,25.58211,214.28896,665.019807909331,337.9221956648145,-495.58050981842723
4256,K2-216 b,K2-216,2018,Transit,2.1748,0.028,1.75,8.0,25.653,248.0,1103.0,K5 V,4503.0,-56.49811,120.44792,376.58341527552903,-179.19463724211155,-105.33442742956308
4338,K2-24 b,K2-24,2016,Transit,20.8851,0.154,5.68,21.0,6.3922,60.0,767.0,G3,5743.0,19.20525,349.99931,556.2988409612319,91.23034084255433,517.356540359054
4348,K2-24 c,K2-24,2016,Transit,42.3633,0.247,7.82,27.0,4.3359,24.0,606.0,G3,5743.0,19.20525,349.99931,556.2988409612319,91.23034084255433,517.356540359054
4369,K2-25 b,K2-25,2015,Transit,3.48456408,0.0287,3.44,24.5,20.3317,9.91,494.0,M4.5 V,3207.0,-25.29268,178.25572,146.62849194822772,-4.0353309678482585,-132.51083605637123
4545,K2-285 b,K2-285,2018,Transit,3.471745,0.03817,2.59,9.68,14.171,234.31,1089.0,K2 V,4975.0,-53.68469,80.67491,505.41518447364274,-295.36570732846775,48.50080903123831
4546,K2-285 c,K2-285,2018,Transit,7.138048,0.0824,3.53,15.68,12.3572,50.35,741.0,K2 V,4975.0,-53.68469,80.67491,505.41518447364274,-295.36570732846775,48.50080903123831
4548,K2-285 d,K2-285,2018,Transit,10.45582,0.1178,2.48,6.5,10.3785,24.61,620.0,K2 V,4975.0,-53.68469,80.67491,505.41518447364274,-295.36570732846775,48.50080903123831
4549,K2-285 e,K2-285,2018,Transit,14.76289,0.18041,1.95,10.7,27.6337,10.5,501.0,K2 V,4975.0,-53.68469,80.67491,505.41518447364274,-295.36570732846775,48.50080903123831
4573,K2-292 b,K2-292,2019,Transit,16.9841,0.13,2.63,24.5,34.784,67.0,795.0,G3 V,5725.0,50.98859,322.75465,372.77390878379754,142.01823028183853,186.79491580843998
4585,K2-3 b,K2-3,2015,Transit,10.0546535,0.0747,2.078,5.11,11.6213,10.5,501.0,M V,3844.0,55.25008,264.98752,143.74592188196715,81.62120213492875,-7.158844805945086
4596,K2-3 c,K2-3,2015,Transit,24.646729,0.1357,1.582,2.68,10.5159,3.17,372.0,M V,3844.0,55.25008,264.98752,143.74592188196715,81.62120213492875,-7.158844805945086
4613,K2-3 d,K2-3,2015,Transit,44.55603,0.2014,1.458,2.2,10.1632,1.44,305.0,M V,3844.0,55.25008,264.98752,143.74592188196715,81.62120213492875,-7.158844805945086
5014,K2-415 b,K2-415,2023,Transit,4.0179694,0.027,1.015,7.5,71.4914,4.82,412.0,M5 V,3173.0,35.80871,217.79828,71.16145080299451,35.36958872996912,-45.601025625854426
5312,KELT-10 b,KELT-10,2016,Transit,4.1662739,0.0525,15.681,215.80657,8.6187,600.0,1377.0,G0 V,5948.0,-20.57244,349.65854,614.4916618734532,103.27531916674252,565.9591131306082
5343,KELT-18 b,KELT-18,2017,Transit,2.8717518,0.0455,17.598,375.0394,11.8926,3152.0,2085.0,F4 V,6670.0,53.81036,102.71473,1048.188320450961,-603.7360203040308,-136.22089325913979
5347,KELT-19 A b,KELT-19 A,2017,Transit,4.6117093,0.0637,21.409,1293.5681,27.7154,2340.0,1935.0,A8 V,7500.0,11.13398,210.01238,979.3693247527284,480.6477739306118,-832.091102752498
5355,KELT-20 b,KELT-20,2017,Transit,3.4741085,0.0542,19.515,1074.90106,27.7176,4362.5,2262.0,A2 V,8720.0,4.62728,65.80767,444.9620998638443,-404.56035205820274,181.751539590158
5360,KELT-21 b,KELT-21,2018,Transit,3.6127647,0.05224,17.777,1242.7153,38.6171,2950.0,2051.0,A8 V,7598.0,-1.9865,71.48138,1535.7986282650468,-1455.4005345224873,487.49619220228
5364,KELT-23 A b,KELT-23 A,2019,Transit,2.255251,0.03302,14.83,298.12454,13.3119,991.18,1561.0,G2 V,5899.0,43.94313,102.28211,411.80830406893733,-289.7273002627847,-63.07600892017546
5380,KELT-4 A b,KELT-4 A,2016,Transit,2.9895932,0.04317,19.044,286.68266,7.7626,1840.0,1823.0,F,6206.0,57.99257,207.45808,711.183981611359,173.81067853774627,-334.48448257398917
5406,KELT-9 b,KELT-9,2017,Transit,1.4811235,0.03462,21.196,915.3504,20.008,44900.0,4050.0,B9.5-A0,10170.0,0.24852,78.91292,666.8430220607677,-654.390942775245,128.23316266313776
5929,KPS-1 b,KPS-1,2018,Transit,1.706291,0.0269,11.545,346.4347,25.5246,729.0,1459.0,K1 V,5165.0,48.29956,140.12745,856.8323736445479,-365.414066462075,-437.45604469854527
14290,Kepler-1654 b,Kepler-1654,2018,Transit,1047.8356,2.026,9.18,158.915,18.5184,0.3,206.0,G5 V,5597.0,19.06885,73.86663,1852.9498283930309,-1682.302784058126,486.6333546994955
14352,Kepler-1661 b,Kepler-1661,2020,Transit,175.06,0.633,3.87,17.0,11.1468,0.88,243.0,K,5100.0,16.15714,72.26462,1339.2209178513885,-1225.1900996767652,391.8418091632769
32264,L 98-59 b,L 98-59,2019,Transit,2.2531136,0.02191,0.85,0.4,5.4368,24.7,627.0,M3 V,3415.0,-17.5933,281.81705,34.63585037525185,32.31607328847477,6.761216349928869
32269,L 98-59 c,L 98-59,2019,Transit,3.6906777,0.0304,1.385,2.22,11.3652,12.8,553.0,M3 V,3415.0,-17.5933,281.81705,34.63585037525185,32.31607328847477,6.761216349928869
32273,L 98-59 d,L 98-59,2019,Transit,7.4507245,0.0486,1.521,1.94,8.2351,5.01,416.0,M3 V,3415.0,-17.5933,281.81705,34.63585037525185,32.31607328847477,6.761216349928869
32281,LHS 1140 b,LHS 1140,2017,Transit,24.73712,0.0875,1.43,6.65,31.9355,0.46,230.0,M4.5 V,3131.0,-78.05159,115.40542,48.87812092100888,-9.140691921480528,-4.341379321348626
32307,LP 791-18 c,LP 791-18,2019,Transit,4.9899093,0.02961,2.438,7.1,11.7305,2.64,324.0,M(6.1 +/- 0.7) V,2960.0,39.10605,268.56582,86.40763067936366,67.0295721992013,-1.6781786593377344
32310,LP 791-18 d,LP 791-18,2023,Transit,2.753436,0.01992,1.032,0.9,8.2987,5.83,396.0,M(6.1 +/- 0.7) V,2960.0,39.10605,268.56582,86.40763067936366,67.0295721992013,-1.6781786593377344
32312,LP 890-9 b,LP 890-9,2022,Transit,2.7299025,0.01875,1.32,13.2,74.3962,4.09,396.0,M6 V,2850.0,-44.9483,226.91411,105.77186098078444,54.67214638834067,-51.136041449699164
32313,LP 890-9 c,LP 890-9,2022,Transit,8.457463,0.03984,1.367,25.3,132.9561,0.91,272.0,M6 V,2850.0,-44.9483,226.91411,105.77186098078444,54.67214638834067,-51.136041449699164
32448,NGTS-1 b,NGTS-1,2017,Transit,2.647298,0.0326,14.908,258.07796,11.4035,65.3,790.0,M0.5,3916.0,-31.20101,241.19241,711.4155526395379,533.2051165342123,-293.22398173974807
32453,NGTS-12 b,NGTS-12,2020,Transit,7.532806,0.0757,11.747,66.10864,4.7047,416.0,1257.0,G,5690.0,25.30286,288.04232,1456.0990558061835,1251.6725435757312,407.7154263404822
32459,NGTS-15 b,NGTS-15,2021,Transit,3.27623,0.0441,12.33,238.68913,15.4181,425.0,1146.0,G6 V,5600.0,-37.98373,234.7828,2565.170987285529,1651.7787042935117,-1165.9444647007012
32460,NGTS-16 b,NGTS-16,2021,Transit,4.84532,0.0523,14.572,211.99155,9.804,480.0,1177.0,G7 V,5550.0,-50.37343,229.39967,2929.43221461092,1418.5675930237467,-1215.8736500621758
32461,NGTS-17 b,NGTS-17,2021,Transit,3.24253,0.0391,13.899,242.8209,12.3437,1160.0,1457.0,G4 V,5650.0,-38.60499,236.48794,3392.939566111738,2210.712961244785,-1463.9082636355315
32463,NGTS-18 b,NGTS-18,2021,Transit,3.05125,0.0448,13.563,129.99182,6.9395,845.0,1381.0,G5 V,5610.0,26.25398,291.77668,3575.2935968931693,2977.649629767964,1189.5692931444173
32483,NGTS-8 b,NGTS-8,2019,Transit,2.4997,0.035,12.218,295.5819,19.4447,503.0,1345.0,K0 V,5241.0,-47.14354,41.59543,1399.1325828741772,-631.7617227892434,711.6846800067998
32485,NGTS-9 b,NGTS-9,2019,Transit,4.43527,0.058,11.994,921.707,62.9201,729.0,1448.0,F8 V,6330.0,22.2152,250.6186,1986.7098204584447,1735.0082223508462,-610.3598300373912
32924,Qatar-3 b,Qatar-3,2017,Transit,2.5079204,0.03783,12.285,1369.8473,89.1347,1330.0,1681.0,G0 V,6007.0,-25.35493,110.71755,2399.2095760481416,-2027.9009248325199,-766.9898350834569
32929,Qatar-4 b,Qatar-4,2017,Transit,1.8053564,0.02803,12.722,1938.763,117.6356,614.0,1385.0,K1 V,5215.0,-18.46753,116.87585,1073.1718989840638,-907.9610814394414,-460.153846056831
32934,Qatar-5 b,Qatar-5,2017,Transit,2.8792319,0.04127,12.408,1373.0256,87.579,669.0,1415.0,G2 V,5747.0,-20.60282,118.33015,1199.1400151858245,-988.0078439939491,-532.6582417211049
32981,TOI-1062 b,TOI-1062,2021,Transit,4.11296,0.052,2.265,10.15,19.4292,232.0,1077.0,G9 V,5328.0,-37.81231,296.49611,268.01345873031266,189.49702348018536,94.46366747965942
32990,TOI-1075 b,TOI-1075,2022,Transit,0.6047328,0.01159,1.791,9.95,30.4619,509.2,1323.0,K9 V/M0 V,3875.0,-35.68168,330.01703,200.45310049368877,81.36911156773367,141.03222645925572
32991,TOI-1107 b,TOI-1107,2022,Transit,4.0782387,0.0561,14.572,1064.72516,49.2407,532.0,1728.0,F6 V,6311.0,-20.84697,297.90095,917.5235524100796,757.7845384256366,401.2423468629426
33009,TOI-1201 b,TOI-1201,2021,Transit,2.4919863,0.0287,2.415,6.28,10.5743,40.6,703.0,M2.0 V,3476.0,-59.89292,194.18797,123.57119298192026,15.192881204273366,-60.09473643978229
33018,TOI-1231 b,TOI-1231,2021,Transit,24.245586,0.1288,3.65,15.4,11.3517,1.93,330.0,M3 V,3553.0,4.38237,281.8256,90.09319774756287,87.92323871061278,18.409124385899784
33022,TOI-1235 b,TOI-1235,2020,Transit,3.444717,0.03826,1.694,5.9,20.1906,60.3,775.0,M0.5 V,3997.0,41.71685,140.91663,129.27044952614267,-60.83403778935653,-74.90067449836677
33026,TOI-1246 b,TOI-1246,2022,Transit,4.30744,0.049,3.01,8.1,8.7796,196.0,955.0,K V,5151.0,35.90788,102.34143,552.5806582552609,-437.22603381478905,-95.66192791394921
33028,TOI-1246 c,TOI-1246,2022,Transit,5.904144,0.061,2.51,8.8,13.717,129.0,860.0,K V,5151.0,35.90788,102.34143,552.5806582552609,-437.22603381478905,-95.66192791394921
33030,TOI-1246 d,TOI-1246,2022,Transit,18.6559,0.131,3.51,5.3,4.2246,28.0,586.0,K V,5151.0,35.90788,102.34143,552.5806582552609,-437.22603381478905,-95.66192791394921
33031,TOI-1246 e,TOI-1246,2022,Transit,37.9216,0.211,3.78,14.8,10.1719,11.0,462.0,K V,5151.0,35.90788,102.34143,552.5806582552609,-437.22603381478905,-95.66192791394921
33034,TOI-125 b,TOI-125,2019,Transit,4.65382,0.05186,2.726,9.5,12.5544,185.0,1037.0,K0 V,5320.0,-49.90031,296.35814,362.226011528438,209.06036903511892,103.58816162592511
33037,TOI-125 c,TOI-125,2019,Transit,9.15059,0.0814,2.759,6.63,8.5533,77.59,828.0,K0 V,5320.0,-49.90031,296.35814,362.226011528438,209.06036903511892,103.58816162592511
33040,TOI-125 d,TOI-125,2020,Transit,19.98,0.137,2.93,13.6,15.5571,26.7,638.0,K0 V,5320.0,-49.90031,296.35814,362.226011528438,209.06036903511892,103.58816162592511
33043,TOI-1260 b,TOI-1260,2021,Transit,3.12748,0.0366,2.34,8.6,15.4238,91.0,860.0,K6 V,4227.0,45.37156,142.80364,240.04359240283566,-101.94632047125093,-134.32703669241408
