discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,sy_dist,pl_name
Transit,2021,18.858982,0.11,2.79,,,,,,9.7221,EPIC 220674823 b
Transit,2021,18.858991,0.1101,,9.6,,,,,9.7221,EPIC 220674823 c
Transit,2021,18.859019,0.1101,3.24,13.6,,454,,3700,9.7221,EPIC 228836835 b
Transit,2017,481.9,1.3,,2034.112,,,,4095,1070.63,EPIC 229004835 b
Transit,2009,268.94,0.78,,330.5432,,,,4864,49.352,EPIC 246851721 b
Transit,2009,268.94,0.777,,467.19,,,K2 V,5008,49.352,EPIC 248847494 b
Transit,2016,153.22,0.576,,337.21763,,,,4649,768.045,EPIC 249893012 b
Transit,2013,137.48,0.539,,352.78,,,K0,4796,426.42,EPIC 249893012 c
Transit,2009,379.63,1.45,,6807.63,,,K2 II,4137,1539.71,EPIC 249893012 d
Imaging,2009,379.63,1.05,,17668.1697,,,,4259,1539.71,FU Tau b
Radial Velocity,2009,621.99,2.01,,3963.17,,,K2 II,4137,1539.71,G 264-012 b
Radial Velocity,2012,578.2,1.3,,1334.886,,,K5 III,4296,1322.51,G 264-012 c
Transit,2016,41.688644,,2.355,,,,,5703,179.461,G 9-40 b
Radial Velocity,2016,41.6855,0.241,2.23,16.3,,546,G,5766,179.461,GJ 1002 b
Radial Velocity,2016,41.6855,,2.578,22.2481,,,,5766,179.461,GJ 1002 c
Radial Velocity,2021,307.88,0.83,,432.24663,,,K1,5004,53.622,GJ 1061 b
Radial Velocity,2011,392.6,1,,289.2253,,,K0 III,4414,871.493,GJ 1061 c
Radial Velocity,2018,733,1.7,,540.311,,,,4534,666.589,GJ 1061 d
Transit,2015,2590,4.2,,508.5,,,K0,4943,442.042,GJ 1132 b
Radial Velocity,2021,265.59,0.78,,228.83645,,,K3,5012,52.5697,GJ 1132 c
Radial Velocity,2021,,1662,14.684,4767.4261,,1303,K0,4993,44.9543,GJ 1148 b
Radial Velocity,2021,1198.48,2.06,,1258.60049,,,K0,5000,38.0473,GJ 1148 c
Radial Velocity,2021,1230,2.115,,3305.41543,,,K0,5000,38.0473,GJ 1151 c
Transit,2021,723.2,1.48,,7961.6016,,,G0,5040,42.6402,GJ 1214 b
Transit,2013,3.8728,0.0428,,8.5,,,K7/M0 V,4324,20.2695,GJ 1252 b
Radial Velocity,2013,125.94,0.435,,53,,,K7/M0 V,4324,20.2695,GJ 1265 b
Transit,2009,5.6,0.06,,12.7132,,,,4816,41.3342,GJ 143 b
Radial Velocity,2009,5.6,0.056,,14.4,,,K3 V,4746,41.3342,GJ 15 A b
Radial Velocity,2009,237.6,0.68,,104,,,K3 V,4746,41.3342,GJ 15 A c
Radial Velocity,2000,3.487,0.046,,152.55,,,K0 V,5400,84.4069,GJ 160.2 b
Radial Velocity,2000,3.48777,0.04,,187.5197,,,,5393,84.4069,GJ 163 b
Radial Velocity,2000,3.48777,0.0452,,145.56,,,,5393,84.4069,GJ 163 c
Radial Velocity,2000,3.487905,0.045,,142.70495,,,,5382.64,84.4069,GJ 163 d
Radial Velocity,2014,1634,2.36,,206.5895,,,,4550,27.1665,GJ 179 b
Radial Velocity,2014,1667,2.28,,168.44,,,K7 V,4475,27.1665,GJ 180 b
Radial Velocity,2020,74.2,0.3,,15.37,,,,4550,27.1665,GJ 180 c
Radial Velocity,2007,714.3,2.1,,3368.998,,,,,925.214,GJ 180 d
Radial Velocity,2007,714.29999,1.66,,3108.3774,,,,4545,925.214,GJ 2030 b
Radial Velocity,2008,655.6,1.34,,1620.9,,,K5 V,4714,34.4603,GJ 2030 c
Radial Velocity,2008,655.59998,1.34,,905.8155,,,,4665,34.4603,GJ 2056 b
Radial Velocity,2023,1891,2.63,,214,0.02,,K7 V,4051,23.7324,GJ 229 A c
Radial Velocity,2023,6240,5.9,,1525.57635,,,K7 V,,23.7324,GJ 229 b
Radial Velocity,2023,6360,5.9,,759,0,,K7 V,4051,23.7324,GJ 251 b
Radial Velocity,2020,2.2907,0.0185,,3.95,8.6,464,M5.0 V,3130,8.60715,GJ 27.1 b
Radial Velocity,2011,10037.5,2.6,,3337.1,,370,,580.5,,GJ 273 b
Radial Velocity,2021,8040000,200,20.849,2479.06157,,1800,M9-L1,2320,,GJ 273 c
Radial Velocity,2006,,210,,3994.486,,,M3.5,,190.374,GJ 3021 b
Radial Velocity,2019,8.9891,,,3686.828,,,K7,,157.998,GJ 3082 b
Transit,2021,402000000,7506,12.442,2002.31896,,434,M3 V,3406,10.8864,GJ 3090 b
Radial Velocity,2007,,440,24.66,5403,,2600,,,190.72,GJ 3138 b
Radial Velocity,2008,1.5089682,0.02752,19.223,390.9309,,,,6298,787.909,GJ 3138 c
Radial Velocity,2008,1.5089635,,20.594,,2852.63,2036,,5950,787.909,GJ 3138 d
Radial Velocity,2008,1.50896877,,,,,,,,787.909,GJ 317 b
Radial Velocity,2008,1.5089557,,16.7,327.35,,1898,G0 V,5950,787.909,GJ 317 c
Radial Velocity,2008,1.5089686,0.02536,17.385,327.3649,,1915,,5950,787.909,GJ 3222 b
Radial Velocity,2008,1.50897655,0.0259,15.917,340.0781,,1834,,5950,787.909,GJ 328 b
Radial Velocity,2008,1.5089557,0.0261,16.589,359.1479,,,,5950,787.909,GJ 328 c
Radial Velocity,2010,13.2406,0.1055,10.873,867.6759,,,,5075,338.386,GJ 3293 b
Radial Velocity,2010,13.2406,0.1055,10.87,874,,600,K1 V,5075,338.386,GJ 3293 c
Radial Velocity,2010,13.2406,0.106,10.548,883.5674,,647,,5075,338.386,GJ 3293 d
Radial Velocity,2010,2.994325,0.04407,16.029,832.7146,,,,6440,655.037,GJ 3293 e
Radial Velocity,2010,2.99433,0.044,15.984,743.7222,,1735,,6440,655.037,GJ 3323 b
Radial Velocity,2010,2.994325,0.04351,15.581,791.3967,,1715,,,655.037,GJ 3323 c
Radial Velocity,2010,,,,,,,,6343,655.037,GJ 3341 b
Radial Velocity,2010,2.99433,0.0436,16.03,740.51,,1657,F6 V,6440,655.037,GJ 338 B b
Radial Velocity,2010,2.828042,0.0394,15.132,281.91521,,1410,,5675,1126.37,GJ 3470 b
Transit,2010,2.828042,0.04016,16.14,291.438,,1442,,5675,1126.37,GJ 3473 b
Radial Velocity,2010,2.828042,0.04013,16.141,290.81445,,,,5675,1126.37,GJ 3473 c
Radial Velocity,2010,2.82805268,0.0392,15.065,277.46559,,1417,,,1126.37,GJ 3512 b
Radial Velocity,2010,2.82803915,,17.76,,661.13,1293,,5675,1126.37,GJ 3512 c
Transit,2010,2.828041,,,,,,,5675,1126.37,GJ 357 b
Radial Velocity,2010,4.03504444,,12.533,,546.53,1233,,5945,1148.93,GJ 357 c
