pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
Kepler-1661 b,Kepler-1661,2020,Transit,175.06,0.633,3.87,17,1.135081359,11.1468,0.88,243,K,5100,16.15714,72.26462,1339.220918,-1225.1901,391.8418092
L 98-59 b,L 98-59,2019,Transit,2.2531136,0.02191,0.85,0.4,0.553633218,5.4368,24.7,627,M3 V,3415,-17.5933,281.81705,34.63585038,32.31607329,6.76121635
L 98-59 c,L 98-59,2019,Transit,3.6906777,0.0304,1.385,2.22,1.157319918,11.3652,12.8,553,M3 V,3415,-17.5933,281.81705,34.63585038,32.31607329,6.76121635
L 98-59 d,L 98-59,2019,Transit,7.4507245,0.0486,1.521,1.94,0.838577686,8.2351,5.01,416,M3 V,3415,-17.5933,281.81705,34.63585038,32.31607329,6.76121635
LHS 1140 b,LHS 1140,2017,Transit,24.73712,0.0875,1.43,6.65,3.251992762,31.9355,0.46,230,M4.5 V,3131,-78.05159,115.40542,48.87812092,-9.140691921,-4.341379321
LP 791-18 c,LP 791-18,2019,Transit,4.9899093,0.02961,2.438,7.1,1.19451318,11.7305,2.64,324,M(6.1 +/- 0.7) V,2960,39.10605,268.56582,86.40763068,67.0295722,-1.678178659
LP 791-18 d,LP 791-18,2023,Transit,2.753436,0.01992,1.032,0.9,0.845051379,8.2987,5.83,396,M(6.1 +/- 0.7) V,2960,39.10605,268.56582,86.40763068,67.0295722,-1.678178659
LP 890-9 b,LP 890-9,2022,Transit,2.7299025,0.01875,1.32,13.2,7.575757576,74.3962,4.09,396,M6 V,2850,-44.9483,226.91411,105.771861,54.67214639,-51.13604145
LP 890-9 c,LP 890-9,2022,Transit,8.457463,0.03984,1.367,25.3,13.53890348,132.9561,0.91,272,M6 V,2850,-44.9483,226.91411,105.771861,54.67214639,-51.13604145
LTT 3780 b,LTT 3780,2020,Transit,0.768377,0.01203,1.35,2.34,1.283950617,12.6088,116,1000,M3.5 V,3360,36.30503,254.20063,71.69373801,55.59355378,-15.73072981
LTT 3780 b,LTT 3780,2020,Transit,0.768448,0.01211,1.332,2.62,1.476701927,14.5017,106,892,M4 V,3331,36.30503,254.20063,71.69373801,55.59355378,-15.73072981
LTT 3780 c,LTT 3780,2020,Transit,12.2519,0.07673,2.3,8.6,1.625708885,15.9649,2.63,353,M4 V,3331,36.30503,254.20063,71.69373801,55.59355378,-15.73072981
LTT 3780 c,LTT 3780,2020,Transit,12.252131,0.0762,2.42,6.29,1.074038659,10.5474,2.88,397,M3.5 V,3360,36.30503,254.20063,71.69373801,55.59355378,-15.73072981
NGTS-1 b,NGTS-1,2017,Transit,2.647298,0.0326,14.908,258.07796,1.161213695,11.4035,65.3,790,M0.5,3916,-31.20101,241.19241,711.4155526,533.2051165,-293.2239817
